timestamp,action,probability,price,real_class,real_price
2025-06-26 08:15:00,1,0.0040206294506788,,1.0,107926.78791648935
2025-06-26 08:15:00,1,0.0040206294506788,,0.0,107778.04498702778
2025-06-26 08:45:00,1,0.0116693601012229,,0.0,107778.04498702778
2025-06-26 08:45:00,1,0.0116693601012229,,0.0,107770.2611065337
2025-06-26 09:15:00,1,0.0143481800332665,,1.0,107577.6377693846
2025-06-26 09:30:00,1,0.0007341795717366,,1.0,107469.19890431466
2025-06-26 09:45:00,1,0.0006758947274647,,1.0,107417.00460599449
2025-06-26 10:15:00,1,0.0009510266827419,,0.0,107063.62501037963
2025-06-26 13:30:00,1,0.0005948613979853,,1.0,107227.0849520138
2025-06-26 13:45:00,1,0.0030534982215613,,0.0,107021.46769300116
2025-06-26 14:00:00,1,0.0007622187258675,,1.0,107163.12079534183
2025-06-26 14:30:00,1,0.0007256005192175,,1.0,107576.69871822046
2025-06-26 15:00:00,1,0.0003391661157365,,0.0,106979.18013601477
2025-06-26 15:45:00,1,0.0008201344753615,,1.0,106990.23687648066
2025-06-26 16:00:00,1,0.000998873845674,,0.0,107190.19197356544
2025-06-26 16:45:00,1,0.0043178028427064,,1.0,107251.77424516484
2025-06-26 17:15:00,1,0.0020216943230479,,1.0,107339.2328862113
2025-06-26 17:45:00,1,0.0022952645085752,,0.0,107270.5445813901
2025-06-26 18:00:00,1,0.0021083680912852,,0.0,107243.35108588512
2025-06-26 18:00:00,1,0.0030028722248971,,0.0,107281.3768157174
2025-06-26 18:45:00,1,0.0040271957404911,,1.0,107386.86528531066
2025-06-26 19:15:00,1,0.000298018392641,,1.0,107467.08011704944
2025-06-26 19:30:00,1,0.0026576700620353,,1.0,107537.91307050092
2025-06-26 19:45:00,1,0.0027268908452242,,1.0,107550.40417942524
2025-06-26 20:00:00,1,0.0032839658670127,,1.0,107644.673876366
2025-06-26 20:45:00,1,0.0030187501106411,,0.0,107779.34179645378
2025-06-26 21:00:00,1,0.011501457542181,,0.0,107380.76236983504
2025-06-26 21:30:00,1,0.0004997976939193,,0.0,107033.52927547006
2025-06-26 22:00:00,1,0.0006904375040903,,0.0,107036.4340352172
2025-06-26 22:00:00,1,0.0007795191486366,,1.0,107119.22398735274
2025-06-26 22:30:00,1,0.0011912368936464,,0.0,106983.95713378803
2025-06-26 23:00:00,1,0.000742896052543,,0.0,106989.77793513089
2025-06-26 23:15:00,1,0.000783281691838,,1.0,107003.13155862932
2025-06-26 23:30:00,1,0.0007147187134250998,,,
