Timestamp,Open,High,Low,Close,Volume
2025-06-19 08:00:00,104642.85,104925.26,104631.26,104888.19,84.25228
2025-06-19 08:15:00,104888.19,104922.08,104875.2,104876.52,56.02204
2025-06-19 08:30:00,104876.51,104924.0,104761.35,104922.21,79.57722
2025-06-19 08:45:00,104922.22,104986.13,104739.44,104746.12,71.53992
2025-06-19 09:00:00,104746.11,104818.81,104729.83,104794.42,31.82148
2025-06-19 09:15:00,104794.42,105000.0,104794.42,104976.03,85.6681
2025-06-19 09:30:00,104976.03,104976.03,104912.63,104926.92,57.34084
2025-06-19 09:45:00,104926.92,105030.0,104926.91,104994.0,109.83224
2025-06-19 10:00:00,104994.0,105038.39,104930.65,105000.01,43.1982
2025-06-19 10:15:00,105000.0,105045.0,104937.08,105044.99,54.49113
2025-06-19 10:30:00,105045.0,105073.53,104953.08,104959.99,57.60753
2025-06-19 10:45:00,104960.0,104960.0,104843.7,104913.19,44.32532
2025-06-19 11:00:00,104913.19,104913.2,104781.14,104843.15,45.81456
2025-06-19 11:15:00,104843.15,104908.39,104828.49,104831.51,38.03253
2025-06-19 11:30:00,104831.51,104831.52,104720.1,104773.21,47.70024
2025-06-19 11:45:00,104773.2,104812.85,104732.69,104776.23,42.3616
2025-06-19 12:00:00,104776.23,104917.05,104694.43,104917.04,79.38019
2025-06-19 12:15:00,104917.04,104917.05,104830.59,104855.04,45.60391
2025-06-19 12:30:00,104855.05,104887.4,104706.59,104711.85,56.47373
2025-06-19 12:45:00,104711.84,104760.0,104663.77,104752.6,68.44406
2025-06-19 13:00:00,104752.61,104784.4,104637.5,104646.9,60.78362
2025-06-19 13:15:00,104646.9,104785.15,104579.59,104785.15,78.81656
2025-06-19 13:30:00,104785.15,104785.15,104522.65,104540.79,91.43056
2025-06-19 13:45:00,104540.79,104540.79,104244.11,104283.33,182.64047
2025-06-19 14:00:00,104283.33,104487.82,104280.62,104476.46,94.61497
2025-06-19 14:15:00,104476.45,104690.47,104440.0,104610.4,83.41419
2025-06-19 14:30:00,104610.41,104622.0,104304.79,104350.0,95.78123
2025-06-19 14:45:00,104350.01,104350.01,104109.06,104148.6,161.97516
2025-06-19 15:00:00,104148.61,104416.01,104148.6,104389.06,156.40692
2025-06-19 15:15:00,104389.07,104443.94,104248.18,104297.22,95.74799
2025-06-19 15:30:00,104297.22,104309.15,104115.08,104231.31,87.65364
2025-06-19 15:45:00,104231.32,104329.47,104078.0,104096.93,156.3317
2025-06-19 16:00:00,104096.94,104333.57,104096.93,104293.5,75.08447
2025-06-19 16:15:00,104293.49,104425.15,104270.0,104363.1,73.53248
2025-06-19 16:30:00,104363.09,104363.1,104122.28,104213.69,78.67599
2025-06-19 16:45:00,104213.7,104259.11,103933.33,104001.13,149.92643
2025-06-19 17:00:00,104001.13,104108.82,103929.27,104060.0,125.78081
2025-06-19 17:15:00,104060.0,104120.81,104000.0,104105.88,66.09852
2025-06-19 17:30:00,104105.88,104814.73,104060.0,104714.24,379.15562
2025-06-19 17:45:00,104714.24,104814.73,104481.96,104521.31,113.00844
2025-06-19 18:00:00,104521.32,104694.01,104479.22,104614.87,101.22476
2025-06-19 18:15:00,104614.87,104636.18,104466.96,104479.9,87.25911
2025-06-19 18:30:00,104479.9,104563.64,104382.35,104413.99,58.93857
2025-06-19 18:45:00,104414.0,104414.0,104294.09,104392.53,48.76481
2025-06-19 19:00:00,104392.54,104464.29,104245.47,104373.73,80.89052
2025-06-19 19:15:00,104373.74,104423.81,104271.1,104298.92,41.93257
2025-06-19 19:30:00,104298.92,104298.93,104126.98,104186.06,107.88764
2025-06-19 19:45:00,104186.07,104300.59,104186.06,104250.44,36.06227
2025-06-19 20:00:00,104250.45,104420.0,104250.44,104352.0,37.95699
2025-06-19 20:15:00,104352.0,104496.0,104263.96,104345.44,53.27989
2025-06-19 20:30:00,104345.45,104400.0,104150.71,104150.71,41.77266
2025-06-19 20:45:00,104150.71,104292.0,104150.0,104266.82,28.12476
2025-06-19 21:00:00,104266.83,104321.7,104266.82,104298.01,30.08571
